Latitud: 4.7110, Longitud: -74.0721
Latitud: 6.2442, Longitud: -75.5812
Latitud: 3.4516, Longitud: -76.5320
Latitud: 10.9685, Longitud: -74.7813
Latitud: 10.3910, Longitud: -75.4794
Latitud: 7.1254, Longitud: -73.1198
Latitud: 7.8891, Longitud: -72.4967
Latitud: 4.4389, Longitud: -75.2322
Latitud: 4.1420, Longitud: -73.6266
Latitud: 5.0689, Longitud: -75.5174
Latitud: 5.5353, Longitud: -73.3678
Latitud: 4.8143, Longitud: -75.6946
Latitud: 2.4448, Longitud: -76.6147
Latitud: 2.9273, Longitud: -75.2819
Latitud: 11.2408, Longitud: -74.1990
Latitud: 8.7479, Longitud: -75.8814
Latitud: 9.3047, Longitud: -75.3978
Latitud: 7.9069, Longitud: -72.5053
Latitud: 11.5444, Longitud: -72.9072
Latitud: 1.2136, Longitud: -77.2811
Latitud: 2.9273, Longitud: -75.2819
Latitud: 5.0703, Longitud: -75.5138
Latitud: 3.5430, Longitud: -73.7580
Latitud: 1.6144, Longitud: -75.6062
Latitud: 0.8280, Longitud: -77.6319
Latitud: 3.8854, Longitud: -77.0708
Latitud: 5.6947, Longitud: -76.6611
Latitud: 7.3756, Longitud: -72.6482
Latitud: 8.0926, Longitud: -76.7282
Latitud: 8.5847, Longitud: -75.9749
Latitud: 4.5339, Longitud: -75.6811
Latitud: 6.1738, Longitud: -67.4924
